CollEn,particle,centrality,mass,beta,betaErr,temp,tempErr,n-v_prof,nErr,norm,normErr,dETdEta_data,dETdEta_d_err,dETdEtaLeft,dETdEtaLErr,dETdEtaRight,dETdEtaRErr,dETdEtaTotal,dETdEtaTErr,dETdy_d,dETdy_d_err,dETdyLeft,dETdyLErr,dETdyRight,dETdyRErr,dETdyTotal,dETdyTErr,dNdEta_d,dNdEta_d_err,dNdEtaLeft,dNdEtaLErr,dNdEtaRight,dNdEtaRErr,dNdEtaTotal,dNdEtaTErr,dNdy_d,dNdy_d_err,dNdyLeft,dNdyLErr,dNdyRight,dNdyRErr,dNdyTotal,dNdyTErr,Npart,NpartErr
7.7,pi+,3,0.13957,0.751122,0.0259371,0.0817709,0.00664036,4.32418,0.740659,7154.6,2558.37,2.84363,0.18675,1.28162,0.115561,0.00333197,0.000319594,4.12858,0.302631,3.008,0.197557,1.83535,0.175296,0.00333928,0.00032026,4.84669,0.373173,6.21814,0.407767,5.94751,0.560405,0.00157238,0.000319594,12.1672,0.968491,6.65065,0.43628,5.94751,0.560405,0.00157238,0.000146699,12.5997,0.996832,160,10
7.7,pi+,4,0.13957,0.753479,0.0284844,0.078757,0.00681807,4.16122,0.674566,5670.36,2189.76,1.87261,0.123064,0.89568,0.0846561,0.00180433,0.000171075,2.7701,0.207891,1.98251,0.130294,1.28656,0.129173,0.00180832,0.000171435,3.27087,0.259638,4.12933,0.270975,4.16612,0.412252,0.000854091,0.000171075,8.2963,0.683398,4.41967,0.290126,4.16612,0.412252,0.000854091,7.8966E-05,8.58664,0.702456,110,11
7.7,pi+,5,0.13957,0.734705,0.0233173,0.0814306,0.00630213,4.93753,1.01344,3238.98,1122.4,1.18249,0.0777974,0.578172,0.0523746,0.00145843,0.000165516,1.76213,0.130338,1.25347,0.0824717,0.82935,0.0795219,0.00146199,0.000165897,2.08428,0.162159,2.6414,0.173542,2.68667,0.25416,0.000725401,0.000165516,5.3288,0.427868,2.82995,0.185991,2.68667,0.25416,0.000725401,7.98941E-05,5.51735,0.44023,72,10
7.7,pi+,6,0.13957,0.735996,0.0325534,0.0753506,0.00727371,4.23318,0.80355,2866.25,1259.92,0.719601,0.0474977,0.391756,0.0406688,0.000586418,6.61291E-05,1.11194,0.0882327,0.763839,0.0504162,0.565411,0.0626038,0.000587868,6.62853E-05,1.32984,0.113086,1.62895,0.107278,1.82887,0.19928,0.000293742,6.61291E-05,3.45812,0.306624,1.7472,0.115096,1.82887,0.19928,0.000293742,3.23339E-05,3.57636,0.314409,45,9
7.7,pi+,7,0.13957,0.685968,0.0243822,0.0823512,0.00663975,4.85543,1.47076,1063,377.123,0.389585,0.0258504,0.19832,0.0174908,0.000409965,6.09105E-05,0.588315,0.0434021,0.413567,0.0274364,0.284407,0.0265794,0.000411093,6.10688E-05,0.698385,0.0540769,0.884112,0.0584289,0.921423,0.084928,0.000216509,6.09105E-05,1.80575,0.143418,0.94809,0.0626671,0.921423,0.084928,0.000216509,3.12102E-05,1.86973,0.147626,26,7
7.7,pi+,8,0.13957,0.630274,0.0313452,0.0845643,0.0101561,4.93951,3.83541,481.833,244.946,0.191113,0.0128913,0.0987833,0.0107234,0.000545093,0.000127742,0.290442,0.0237424,0.203133,0.0136936,0.141462,0.016405,0.000547255,0.000128202,0.345142,0.0302268,0.439582,0.0294123,0.45848,0.0523281,0.000345027,0.000127742,0.898407,0.0818682,0.47177,0.031561,0.45848,0.0523281,0.000345027,7.68589E-05,0.930595,0.083966,14,4
7.7,ka-,0,0.49368,0.696235,0.0175271,0.0891426,0.00859752,6.37627,2.15233,11936.7,8541.19,0.77564,0.0479961,0.130752,0.00770003,0.0069151,0.00128024,0.913307,0.0569764,1.12437,0.0693278,0.433106,0.026787,0.00716729,0.00132216,1.56464,0.097437,1.05595,0.0647772,0.247953,0.0146609,0.00365902,0.00128024,1.30756,0.0807184,1.58998,0.0974455,0.247953,0.0146609,0.00365902,0.000641295,1.8416,0.112748,337,2
7.7,ka-,1,0.49368,0.694272,0.016178,0.0864572,0.00666676,5.94705,1.38522,12431.5,7286.29,0.637036,0.0396929,0.110354,0.00568933,0.00516697,0.000711717,0.752557,0.0460939,0.925567,0.0574385,0.365979,0.0197652,0.00535668,0.00073549,1.2969,0.0779392,0.869539,0.0536787,0.209291,0.0108312,0.00274364,0.000711717,1.08157,0.0652216,1.31204,0.0808883,0.209291,0.0108312,0.00274364,0.000360173,1.52408,0.0920797,290,6
7.7,ka-,2,0.49368,0.711992,0.0172656,0.0793636,0.00728518,5.48888,1.0613,17914.4,13366.9,0.460812,0.0282809,0.0860039,0.00539016,0.00343554,0.000490324,0.550251,0.0341613,0.673031,0.0411896,0.286365,0.0189445,0.00356272,0.00050697,0.962959,0.060641,0.631805,0.0384851,0.163162,0.0102713,0.00183213,0.000490324,0.796799,0.0492468,0.9586,0.0583714,0.163162,0.0102713,0.00183213,0.000250231,1.12359,0.0688929,226,8
7.7,ka-,3,0.49368,0.704703,0.0212827,0.0724453,0.00705202,5.06337,0.772228,27110.5,23060.4,0.310613,0.019298,0.0647775,0.00445728,0.00149193,0.000201243,0.376882,0.0239565,0.458649,0.0283997,0.216713,0.0158318,0.00154827,0.000208334,0.67691,0.0444398,0.43142,0.0266001,0.12294,0.00850083,0.000803826,0.000201243,0.555164,0.0353022,0.66082,0.0407027,0.12294,0.00850083,0.000803826,0.0001047,0.784563,0.0493083,160,10
7.7,ka-,4,0.49368,0.669542,0.018497,0.0812073,0.00777868,6.13221,1.80203,6771.08,5174.11,0.198513,0.0125532,0.039551,0.00243135,0.000892737,0.000160387,0.238957,0.0151449,0.293373,0.0184495,0.131697,0.00853032,0.000926243,0.000165948,0.425997,0.0271458,0.276662,0.0173106,0.0750347,0.00463244,0.000479483,0.000160387,0.352176,0.0221034,0.42355,0.0264303,0.0750347,0.00463244,0.000479483,8.27483E-05,0.499064,0.0311455,110,11
7.7,ka-,5,0.49368,0.723145,0.0386226,0.0855203,0.00549753,13.5558,5.89776,2891.16,1449.34,0.118554,0.00771285,0.0256415,0.00132081,0.00100032,0.000650133,0.145196,0.0096838,0.177733,0.0114697,0.0854445,0.00458557,0.00104094,0.000676015,0.264219,0.0167313,0.167886,0.0107757,0.0486493,0.00251436,0.000556343,0.000650133,0.217092,0.0139402,0.26027,0.0166267,0.0486493,0.00251436,0.000556343,0.000357887,0.309476,0.0194989,72,10
7.7,ka-,6,0.49368,0.658771,0.039813,0.0818001,0.00694781,10.6182,5.99883,2329.84,1579.66,0.0652648,0.00454424,0.0151412,0.000914629,0.000276653,8.20733E-05,0.0806826,0.00554094,0.0987142,0.00677376,0.0505634,0.00320585,0.000288322,8.52331E-05,0.149566,0.0100648,0.0934572,0.00637371,0.0287323,0.0017425,0.000156918,8.20733E-05,0.122346,0.00819828,0.14589,0.00984855,0.0287323,0.0017425,0.000156918,4.44578E-05,0.174779,0.0116355,45,9
7.7,ka-,7,0.49368,0.819585,0.105429,0.0838457,0.00481463,33.3095,24.0255,883.292,406.216,0.0283301,0.00218744,0.00709209,0.000417467,0.00058947,0.000359161,0.0360117,0.00296407,0.0433058,0.00327146,0.0237132,0.001456,0.000617951,0.000372982,0.0676369,0.00510044,0.0410567,0.00308556,0.0134595,0.000795015,0.000353326,0.000359161,0.0548695,0.00423974,0.064655,0.00477664,0.0134595,0.000795015,0.000353326,0.000192022,0.0784678,0.00576368,26,7
7.7,ka-,8,0.49368,0.994762,0.265587,0.0851022,0.00314936,86.3294,42.6899,337.59,104.133,0.011758,0.00113077,0.00305348,0.000227985,0.00138087,0.0176374,0.0161924,0.0189962,0.0181551,0.00169729,0.0102095,0.000778243,0.00142088,0.0177377,0.0297855,0.0202133,0.0172858,0.00160969,0.00579495,0.000433401,0.000586417,0.0176374,0.0236672,0.0196805,0.0274,0.00249308,0.00579495,0.000433401,0.000586417,0.00366648,0.0337814,0.00659295,14,4
7.7,ka+,0,0.49368,0.746462,0.0201618,0.0777732,0.00665323,4.37141,0.426034,87738,61873.1,2.12732,0.132107,0.343489,0.0214885,0.00787268,0.000837418,2.47868,0.154433,3.03534,0.187672,1.14188,0.0755187,0.00808569,0.000858738,4.18531,0.26405,2.82495,0.173774,0.651563,0.0409476,0.00361937,0.000837418,3.48014,0.215559,4.20555,0.258186,0.651563,0.0409476,0.00361937,0.000373162,4.86073,0.299506,337,2
7.7,ka+,1,0.49368,0.721805,0.021396,0.0816193,0.00737729,4.48549,0.59584,50547.7,36241.8,1.7803,0.109143,0.285539,0.0173387,0.00850864,0.000973377,2.07435,0.127455,2.54941,0.155741,0.947278,0.0606515,0.0087625,0.00100043,3.50545,0.217393,2.37951,0.144548,0.541547,0.0330274,0.00409781,0.000973377,2.92516,0.178549,3.55043,0.215501,0.541547,0.0330274,0.00409781,0.000452056,4.09607,0.248981,290,6
7.7,ka+,2,0.49368,0.74252,0.0189968,0.0752614,0.00618067,4.51548,0.431034,71469.7,49829.6,1.26911,0.0771789,0.220612,0.0139978,0.00560019,0.000563441,1.49532,0.0917401,1.82727,0.110797,0.735073,0.0493104,0.00576816,0.000579294,2.56811,0.160687,1.70444,0.102787,0.418556,0.0266786,0.00270454,0.000563441,2.1257,0.130029,2.55797,0.154226,0.418556,0.0266786,0.00270454,0.000263362,2.97923,0.181168,226,8
7.7,ka+,3,0.49368,0.728075,0.0165179,0.0785108,0.00567332,5.26124,0.607525,35726,21274,0.865298,0.0527162,0.15641,0.00911101,0.00338222,0.000355537,1.02509,0.0621827,1.25519,0.076254,0.520829,0.0319172,0.00348358,0.000365524,1.77951,0.108537,1.17431,0.0709633,0.296734,0.017357,0.00163263,0.000355537,1.47268,0.0886758,1.77285,0.107119,0.296734,0.017357,0.00163263,0.000166036,2.07122,0.124642,160,10
7.7,ka+,4,0.49368,0.711695,0.0182514,0.0787458,0.00662036,5.21199,0.794678,21717.4,14945.9,0.529893,0.0324139,0.097737,0.00589818,0.00256411,0.000315175,0.630194,0.0386273,0.771923,0.0470925,0.325421,0.0207072,0.00264963,0.00032495,1.09999,0.0681246,0.724156,0.0439706,0.185421,0.0112383,0.00130225,0.000315175,0.910879,0.0555242,1.0963,0.0665509,0.185421,0.0112383,0.00130225,0.000154248,1.28302,0.0779435,110,11
7.7,ka+,5,0.49368,0.725983,0.0133754,0.078884,0.00579097,6.83703,1.27254,13260.9,8009.07,0.310301,0.0193068,0.062496,0.00367333,0.00231259,0.000329612,0.37511,0.0233097,0.457119,0.0283284,0.208529,0.0128887,0.00239775,0.000340738,0.668047,0.0415578,0.429476,0.0264955,0.118585,0.00699878,0.00122995,0.000329612,0.54929,0.0338239,0.65677,0.0404561,0.118585,0.00699878,0.00122995,0.000167711,0.776585,0.0476226,72,10
7.7,ka+,6,0.49368,0.695767,0.0169697,0.0752337,0.00624689,6.21606,1.20458,11107.9,7844.53,0.169048,0.0109091,0.036754,0.00228521,0.000739995,0.000112091,0.206543,0.0133064,0.251324,0.0160967,0.122935,0.00807006,0.000767859,0.000116027,0.375027,0.0242828,0.236893,0.0151031,0.0697537,0.00435626,0.000398118,0.000112091,0.307045,0.0195715,0.36481,0.0231474,0.0697537,0.00435626,0.000398118,5.82077E-05,0.434962,0.0275618,45,9
7.7,ka+,7,0.49368,0.661414,0.0216345,0.0750868,0.0082368,6.05776,1.87055,5295.49,4919.98,0.0769829,0.00518514,0.0174299,0.00119802,0.000354797,6.83981E-05,0.0947676,0.00645156,0.115362,0.00768736,0.0583162,0.00424973,0.000369962,7.11062E-05,0.174048,0.0120082,0.10906,0.00723031,0.0330802,0.0022846,0.000202622,6.83981E-05,0.142343,0.0095833,0.168935,0.0111178,0.0330802,0.0022846,0.000202622,3.75869E-05,0.202218,0.01344,26,7
7.7,ka+,8,0.49368,0.7887,0.136558,0.0876822,0.00648091,27.2796,27.0356,649.38,367.014,0.0308852,0.00244018,0.00700408,0.000437012,0.000608362,0.000412282,0.0384977,0.00328948,0.0467083,0.0036091,0.0233423,0.00152252,0.00063837,0.000428575,0.070689,0.00556019,0.0442996,0.00339959,0.0132889,0.00083217,0.000368617,0.000412282,0.0579571,0.00464405,0.06908,0.0052117,0.0132889,0.00083217,0.000368617,0.000223515,0.0827375,0.00626739,14,4
7.7,pba,0,0.93827,0.646131,0.0723194,0.0903528,0.00709017,2.66436,0.980785,22948.6,22522.8,0.0630858,0.0058783,0.0151416,0,0.0124266,0,0.0906539,0.0058783,0.108376,0.0101045,0.0591555,0,0.0148182,0,0.18235,0.0101045,0.0295073,0.00274774,0.00787663,0,0.00461555,0,0.0419995,0.00274774,0.05125,0.00477731,0.00787663,0,0.00461555,0,0.0637422,0.00477731,337,2
7.7,pba,1,0.93827,0.685644,0.0286958,0.0560114,0.00251501,2.43466,0.497061,25542800,20514800,0.0521595,0.00502569,0.015278,0,0.00705836,0,0.0744959,0.00502569,0.0904947,0.00870793,0.0611297,0,0.00850963,0,0.160134,0.00870793,0.0244633,0.00235442,0.00795291,0,0.00267565,0,0.0350918,0.00235442,0.042915,0.00412644,0.00795291,0,0.00267565,0,0.0535436,0.00412644,290,6
7.7,pba,2,0.93827,0.616479,0.056665,0.0823825,0.0214688,2.96648,1.43344,52852.9,179573,0.0421751,0.00377478,0.0121772,0,0.00558285,0,0.0599352,0.00377478,0.073871,0.00661011,0.0479824,0,0.00669947,0,0.128553,0.00661011,0.0198494,0.00177514,0.00633616,0,0.00209821,0,0.0282838,0.00177514,0.03514,0.00314306,0.00633616,0,0.00209821,0,0.0435744,0.00314306,226,8
7.7,pba,3,0.93827,0.621886,0.0542746,0.0774242,0.00524204,3.15855,0.990978,92006.2,88034.6,0.0308307,0.00284859,0.00963222,0,0.00366464,0,0.0441275,0.00284859,0.0542946,0.0050081,0.0381548,0,0.00440462,0,0.096854,0.0050081,0.014536,0.00134114,0.0050127,0,0.00138129,0,0.0209299,0.00134114,0.02587,0.00238403,0.0050127,0,0.00138129,0,0.032264,0.00238403,160,10
7.7,pba,4,0.93827,0.644578,0.0703884,0.0808206,0.00346552,4.78426,1.74619,40904.9,24313.2,0.0226523,0.00217786,0.00805564,0,0.00263827,0,0.0333462,0.00217786,0.0403508,0.0038616,0.0320963,0,0.0031618,0,0.0756089,0.0038616,0.0107179,0.00102814,0.00419297,0,0.000989109,0,0.0159,0.00102814,0.01929,0.00184289,0.00419297,0,0.000989109,0,0.0244721,0.00184289,110,11
7.7,pba,5,0.93827,0.670104,0.0604018,0.0717069,0.00980654,5.74371,2.15245,160259,331910,0.0149683,0.00154146,0.00643544,0,0.00158952,0,0.0229933,0.00154146,0.0270831,0.00276304,0.0259765,0,0.00190697,0,0.0549666,0.00276304,0.00711102,0.000729519,0.00335091,0,0.000597174,0,0.0110591,0.000729519,0.013,0.0013222,0.00335091,0,0.000597174,0,0.0169481,0.0013222,72,10
7.7,pba,6,0.93827,0.500011,0.437397,0.0509291,0.00518568,2.12241,0.614669,37115700,73514600,0.00855483,0.000949646,0.0044297,0,0.000628759,0,0.0136133,0.000949646,0.0161914,0.00178152,0.0178923,0,0.000817496,0,0.0349012,0.00178152,0.00413642,0.000457862,0.00230655,0,0.00026005,0,0.00670303,0.000457862,0.00788,0.000864975,0.00230655,0,0.00026005,0,0.0104466,0.000864975,45,9
7.7,pba,7,0.93827,0.500014,0.377705,0.0474969,0.00423676,2.65345,0.656106,89793900,165664000,0.00431869,0.000560626,0.00270302,0,0.000245745,0,0.00726745,0.000560626,0.00827722,0.00105576,0.011104,0,0.00032038,0,0.0197016,0.00105576,0.00209474,0.000270476,0.00140814,0,0.000101929,0,0.00360481,0.000270476,0.00404,0.000512992,0.00140814,0,0.000101929,0,0.00555007,0.000512992,26,7
7.7,pba,8,0.93827,0.548208,0.277626,0.0482289,0.0065483,3.76223,4.91807,36418000,97438200,0.00196596,0.000349255,0.00153874,0,0.000512314,0,0.00401702,0.000349255,0.00391674,0.000686489,0.00639637,0,0.000720121,0,0.0110332,0.000686489,0.000965029,0.000170956,0.000801875,0,0.000223657,0,0.00199056,0.000170956,0.00193,0.000337371,0.000801875,0,0.000223657,0,0.00295553,0.000337371,14,4
7.7,pro,0,0.93827,0.576587,0.0402979,0.108632,0.0108124,2.79299,0.621127,409183,429840,1.49382,0.126991,0.0487722,0,0.0618063,0,1.60439,0.126991,2.20369,0.185683,0.156034,0,0.0674673,0,2.42719,0.185683,4.67183,0.387759,1.05781,0,0.0440158,0,5.77365,0.387759,7.83918,0.652545,1.05781,0,0.0440158,0,8.941,0.652545,337,2
7.7,pro,1,0.93827,0.600261,0.0785068,0.101908,0.0294261,2.95215,0.827848,692817,2182880,1.24503,0.105841,0.043178,0.0036277,0.0494016,0.0102222,1.33761,0.119691,1.843,0.155312,0.138345,0.0121129,0.0539414,0.0110589,2.03528,0.178484,3.93944,0.327195,0.940112,0.0876355,0.035269,0.0102222,4.91482,0.425053,6.63971,0.553231,0.940112,0.0876355,0.035269,0.00670311,7.61509,0.64757,290,6
7.7,pro,2,0.93827,0.562374,0.107856,0.104947,0.0418833,3.13001,1.59915,388204,1648030,0.886737,0.0747862,0.0339188,0.00323285,0.0270546,0.00690829,0.94771,0.0849274,1.32899,0.111266,0.10872,0.0108196,0.0295631,0.00747475,1.46728,0.12956,2.91702,0.241544,0.739222,0.0785295,0.0194441,0.00690829,3.67569,0.326982,4.96539,0.41291,0.739222,0.0785295,0.0194441,0.00453618,5.72406,0.495976,226,8
7.7,pro,3,0.93827,0.587264,0.0381076,0.102101,0.0153321,3.88573,1.02711,355381,587895,0.569155,0.0479973,0.0239248,0,0.0175935,0,0.610673,0.0479973,0.85864,0.071901,0.0768299,0,0.0192194,0,0.954689,0.071901,1.91301,0.15859,0.523928,0,0.0126132,0,2.44956,0.15859,3.28186,0.273346,0.523928,0,0.0126132,0,3.81841,0.273346,160,10
7.7,pro,4,0.93827,0.603346,0.075979,0.0970048,0.0430738,4.6169,3.30403,438272,2231770,0.363594,0.0306147,0.0174968,0.00427714,0.0100021,0.0221654,0.391093,0.0570573,0.554842,0.0464279,0.0563264,0.0143068,0.0109299,0.0241235,0.622098,0.0848581,1.26736,0.10522,0.385588,0.103708,0.0071905,0.0221654,1.66014,0.231094,2.20057,0.183715,0.385588,0.103708,0.0071905,0.0153675,2.59335,0.302791,110,11
7.7,pro,5,0.93827,0.596446,0.0425331,0.0871118,0.015711,4.46674,1.00953,970353,2208150,0.199782,0.0167575,0.0114064,0.00104743,0.00350712,0.000603793,0.214696,0.0184087,0.310095,0.025889,0.0368398,0.00352808,0.0038394,0.000656423,0.350774,0.0300735,0.733185,0.0609442,0.253475,0.0258564,0.00256166,0.000603793,0.989221,0.0874044,1.29163,0.108072,0.253475,0.0258564,0.00256166,0.000414703,1.54767,0.134343,72,10
7.7,pro,6,0.93827,0.599124,0.0475954,0.0852617,0.0210082,5.44393,1.81235,751047,2389590,0.10693,0.00900692,0.0069956,0.000928656,0.00160417,0.000386141,0.11553,0.0103217,0.16823,0.0141052,0.022645,0.00314632,0.0017566,0.000419687,0.192632,0.0176712,0.4087,0.0341358,0.156353,0.0232474,0.00117428,0.000386141,0.566228,0.0577693,0.729015,0.0613053,0.156353,0.0232474,0.00117428,0.000264551,0.886542,0.0848173,45,9
7.7,pro,7,0.93827,0.578855,0.0269536,0.0936114,0.0116287,9.26555,5.10846,123231,183310,0.0493485,0.00419371,0.00362371,0.000283566,0.000607698,0.000156828,0.0535799,0.0046341,0.0792365,0.0066991,0.0117245,0.000948722,0.000665014,0.000170331,0.0916261,0.00781815,0.200005,0.016837,0.0808868,0.0068841,0.000442364,0.000156828,0.281334,0.0238779,0.36241,0.0307127,0.0808868,0.0068841,0.000442364,0.000106736,0.443739,0.0377035,26,7
7.7,pro,8,0.93827,0.651851,0.0259653,0.0562351,0.0104281,8.81862,1.15604,129892000,459143000,0.0182431,0.00166041,0.00250727,0.000929259,8.33317E-05,2.6948E-05,0.0208336,0.00261662,0.0302501,0.00270501,0.00831562,0.00314608,9.16055E-05,2.9636E-05,0.0386573,0.00588073,0.0813134,0.00710149,0.0596038,0.0232606,6.30429E-05,2.6948E-05,0.14098,0.0303891,0.15253,0.0133436,0.0596038,0.0232606,6.30429E-05,2.04962E-05,0.212197,0.0366247,14,4
11.5,pi-,0,0.13957,0.769761,0.0169977,0.0859465,0.00543871,5.50624,0.913636,18839.1,5300.26,9.3104,0.611114,3.9921,0.322656,0.0173507,0.00170499,13.3198,0.935475,9.84179,0.646026,5.69925,0.484732,0.0173881,0.00170844,15.5584,1.13247,20.2017,1.32374,18.4828,1.55387,0.00811045,0.00170499,38.6925,2.87932,21.5964,1.41563,18.4828,1.55387,0.00811045,0.000770667,40.0873,2.97027,338,2
11.5,pi-,1,0.13957,0.769416,0.0189392,0.0846358,0.00568864,5.07217,0.815361,15563.2,4632.24,7.26137,0.476721,3.12848,0.258001,0.0129381,0.00122104,10.4028,0.735943,7.67461,0.503871,4.47006,0.388612,0.0129661,0.00122353,12.1576,0.893707,15.7312,1.0309,14.4934,1.24484,0.00605786,0.00122104,30.2306,2.27696,16.8149,1.1023,14.4934,1.24484,0.00605786,0.000553652,31.3144,2.34769,291,6
11.5,pi-,2,0.13957,0.77057,0.0161732,0.0860636,0.00523623,5.71445,0.935067,11176.8,3039.44,5.51101,0.361648,2.38271,0.189719,0.0102277,0.000999276,7.90395,0.552366,5.82674,0.382391,3.40193,0.284823,0.0102498,0.0010013,9.23892,0.668215,11.9831,0.785139,11.0324,0.913203,0.00477924,0.000999276,23.0203,1.69934,12.8126,0.839789,11.0324,0.913203,0.00477924,0.000451435,23.8498,1.75344,226,8
