CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	la_	4	1.11568	0.519857	0.118288	0.111501	0.0257573	2.6714	0.952721	87723.9	244100	0.705029	0.0554894	0.0110364	0.00175962	1.28599E-05	1.78678E-06	0.716079	0.0572509	1.0215	0.0890538	0.0296658	0.00495373	1.34528E-05	1.86742E-06	1.05118	0.0940094	1.75635	0.194692	0.138133	0.0248094	4.78611E-06	1.78678E-06	1.89449	0.219503	2.93645	0.375644	0.138133	0.0248094	4.78611E-06	6.5557E-07	3.07459	0.400454	110	11
7.7	la_	5	1.11568	0.534447	0.0759933	0.103606	0.0169368	3.56145	0.893549	99565.6	210874	0.27364	0.0219309	0.00540478	0.000787287	2.90349E-06	4.33123E-07	0.279048	0.0227186	0.408358	0.0361747	0.01462	0.00223189	3.03838E-06	4.52944E-07	0.422981	0.038407	0.754915	0.083219	0.0687863	0.0113007	1.08632E-06	4.33123E-07	0.823703	0.0945201	1.31446	0.164237	0.0687863	0.0113007	1.08632E-06	1.60411E-07	1.38325	0.175538	59	45
7.7	la_	6	1.11568	0.629055	0.0500896	0.0673497	0.0113646	5.68859	2.31989	22122500	72719900	0.0544906	0.00574299	0.00185229	0.000607814	6.34546E-07	8.59721E-07	0.0563435	0.00635166	0.0842414	0.00976363	0.00520907	0.00180384	6.73005E-07	9.10395E-07	0.0894511	0.0115684	0.16757	0.0236632	0.0260249	0.00976577	2.84054E-07	8.59721E-07	0.193595	0.0334299	0.300147	0.0476993	0.0260249	0.00976577	2.84054E-07	3.77446E-07	0.326172	0.0574654	20	14
11.5	ala	0	1.11568	0.591002	0.0125902	0.101979	0.00188276	1.35639	0.2785	41304	9700.45	1.04737	0.0895595	0.0432754	0.00504884	1.25645E-05	1.60565E-06	1.09065	0.09461	1.60851	0.153314	0.139074	0.0174769	1.31405E-05	1.67821E-06	1.74759	0.170792	0.385736	0.0341784	0.0187	0.00218907	2.54608E-06	1.60565E-06	0.404439	0.0363691	0.605824	0.0600476	0.0187	0.00218907	2.54608E-06	3.23562E-07	0.624527	0.062237	338	2
11.5	ala	1	1.11568	0.671326	0.0594816	0.0814054	0.0151136	1.73331	0.72659	719349	2119230	0.79947	0.0832504	0.0341206	0.00891517	7.03512E-06	1.24037E-06	0.833597	0.0921668	1.22893	0.144094	0.111434	0.0328358	7.35974E-06	1.29613E-06	1.34037	0.176931	0.294276	0.0318792	0.0147539	0.00387606	1.42932E-06	1.24037E-06	0.309031	0.0357565	0.462814	0.0566337	0.0147539	0.00387606	1.42932E-06	2.49437E-07	0.477569	0.06051	291	6
11.5	ala	2	1.11568	0.630907	0.0915427	0.0900817	0.0222181	1.94395	0.946229	152278	544082	0.658113	0.0561904	0.0335534	0.00833584	5.15369E-06	6.53673E-07	0.691671	0.0645269	1.03252	0.0982831	0.11009	0.0309827	5.39153E-06	6.83623E-07	1.14262	0.129266	0.244655	0.0216597	0.0145119	0.00362574	1.04707E-06	6.53673E-07	0.259168	0.0252861	0.392602	0.0388172	0.0145119	0.00362574	1.04707E-06	1.32455E-07	0.407115	0.042443	226	8
11.5	ala	3	1.11568	0.628838	0.0695658	0.0877227	0.0167779	2.3357	0.923033	175355	500012	0.466681	0.0499481	0.0280216	0.00656414	2.53031E-06	3.7035E-07	0.494705	0.0565126	0.74622	0.0902886	0.0930623	0.0243706	2.64763E-06	3.87352E-07	0.839285	0.11466	0.175056	0.0194734	0.0121259	0.00285487	5.14991E-07	3.7035E-07	0.187182	0.0223286	0.286166	0.0360319	0.0121259	0.00285487	5.14991E-07	7.50912E-08	0.298292	0.0388868	160	9
11.5	ala	4	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	0.320392	0.0445622	7.04896E-54	3.51726E-25	8.47806E-67	6.61712E-31	0.320392	0.0445622	0.524052	0.0829155	1.54132E-53	7.88709E-25	8.90946E-67	6.94775E-31	0.524052	0.0829155	0.121581	0.0175842	2.97334E-54	1.48804E-25	1.78662E-67	6.61712E-31	0.121581	0.0175842	0.203035	0.0334084	2.97334E-54	1.48804E-25	1.78662E-67	1.38528E-31	0.203035	0.0334084	110	10
11.5	ala	5	1.11568	0.57067	0.0978751	0.100533	0.0249679	4.24546	1.37429	12815.6	42459.9	0.167823	0.0226886	0.014191	0.00363097	6.46813E-07	2.00473E-07	0.182015	0.0263197	0.28576	0.0426776	0.0478156	0.0134543	6.76844E-07	2.09643E-07	0.333576	0.0561322	0.064561	0.00899276	0.00614505	0.00157907	1.31697E-07	2.00473E-07	0.0707062	0.010572	0.112257	0.0172553	0.00614505	0.00157907	1.31697E-07	4.05862E-08	0.118402	0.0188344	59	45
11.5	ala	6	1.11568	0.573498	0.160189	0.0713587	0.036914	4.01051	2.93767	738133	6845330	0.0436351	0.00819406	0.00555522	0.00340804	2.04882E-06	2.44711E-06	0.0491923	0.0116046	0.0773075	0.01587	0.0193953	0.0134384	2.23452E-06	2.6618E-06	0.0967051	0.0293111	0.017135	0.00328961	0.00240899	0.00148581	5.22874E-07	2.44711E-06	0.0195445	0.00477787	0.0308624	0.0064768	0.00240899	0.00148581	5.22874E-07	6.17447E-07	0.0332719	0.00796323	20	14
