E	part	mass	beta	beta_err	temp	temp_err	n(v-prof.)	n_err	norm	norm_err	dETdEta_d	dETdEta_d_err	dETdEta_left	dETdEta_leftErr	dETdEta_right	dETdEta_rightErr
0	pro	0.93827	0.562702	0.0664564	0.104829	0.0227045	3.12626	0.964626	392865	912507	0.886737	0.0747862	0.0339267	ETlErr	0.0270347	ETrErr
0	pro	0.93827	0.589905	0.0191816	0.1008	0.00541935	3.81311	0.576998	409182	244217	0.569155	0.0479973	0.0240114	ETlErr	0.0174042	ETrErr
0	pro	0.93827	0.603346	0.075979	0.0970048	0.0430738	4.6169	3.30403	438272	2.23177e+06	0.363594	0.0306147	0.0174968	ETlErr	0.0100021	ETrErr
0	pro	0.93827	0.596446	0.0425331	0.0871118	0.015711	4.46674	1.00953	970353	2.20815e+06	0.199782	0.0167575	0.0114064	ETlErr	0.00350712	ETrErr
0	pro	0.93827	0.599124	0.0475954	0.0852617	0.0210082	5.44393	1.81235	751047	2.38959e+06	0.10693	0.00900692	0.0069956	ETlErr	0.00160417	ETrErr
0	pro	0.93827	0.578512	0.0243987	0.0926253	0.00496153	8.90366	2.72728	139862	91568.7	0.0493485	0.00419371	0.00364161	ETlErr	0.000597039	ETrErr
0	pro	0.93827	0.651851	0.0259653	0.0562351	0.0104281	8.81862	1.15604	1.29892e+08	4.59143e+08	0.018243	0.00166041	0.00250727	ETlErr	8.33317e-05	ETrErr
0	pi-	0.13957	0.769761	0.0169977	0.0859465	0.00543871	5.50624	0.913636	18839.1	5300.26	9.3104	0.611114	3.9921	ETlErr	0.0173507	ETrErr
0	pi-	0.13957	0.769416	0.0189392	0.0846358	0.00568864	5.07217	0.815361	15563.2	4632.24	7.26137	0.476721	3.12848	ETlErr	0.0129381	ETrErr
0	pi-	0.13957	0.77057	0.0161732	0.0860636	0.00523623	5.71445	0.935067	11176.8	3039.44	5.51101	0.361648	2.38271	ETlErr	0.0102277	ETrErr
0	pi-	0.13957	0.770533	0.016406	0.0855039	0.00524004	5.69161	0.922514	7794.87	2141.44	3.71785	0.244024	1.62768	ETlErr	0.00664378	ETrErr
0	pi-	0.13957	0.761366	0.0213405	0.0816004	0.00575296	4.85952	0.753089	6520.22	2064.44	2.50929	0.164666	1.16495	ETlErr	0.00318502	ETrErr
0	pi-	0.13957	0.758709	0.0224544	0.0801865	0.00575589	4.72944	0.714231	4451.12	1442.77	1.56651	0.102822	0.750448	ETlErr	0.00172164	ETrErr
0	pi-	0.13957	0.750307	0.0246251	0.0783416	0.00587172	4.56836	0.69334	3011.96	1026.65	0.932935	0.0612777	0.470068	ETlErr	0.0007725	ETrErr
0	pi-	0.13957	0.733632	0.0283293	0.0771146	0.00665563	4.35757	0.848754	1887.98	734.299	0.530573	0.0349312	0.279707	ETlErr	0.000766393	ETrErr
0	pi-	0.13957	0.705595	0.0363708	0.076913	0.00787499	3.86093	0.944704	990.045	448.165	0.272968	0.0180727	0.145353	ETlErr	0.00027539	ETrErr
0	pi+	0.13957	0.765781	0.0179134	0.0876521	0.00575829	5.16926	0.904128	16239.1	4648.57	9.00589	0.591283	3.64902	ETlErr	0.0185567	ETrErr
0	pi+	0.13957	0.762604	0.0203071	0.0864894	0.00615755	4.77362	0.840364	13294.9	4102.64	7.00694	0.460068	2.85524	ETlErr	0.0133493	ETrErr
0	pi+	0.13957	0.765495	0.0200384	0.085127	0.00595406	4.86568	0.811595	10939.6	3356.2	5.29764	0.347612	2.23633	ETlErr	0.00944538	ETrErr
0	pi+	0.13957	0.770669	0.0162061	0.0870376	0.00536907	5.6535	0.954607	6799.81	1859.53	3.56832	0.234297	1.50066	ETlErr	0.00715359	ETrErr
0	pi+	0.13957	0.763078	0.0162422	0.0863074	0.00520262	5.78744	0.982839	4872.72	1313.89	2.40689	0.157987	1.0501	ETlErr	0.00399656	ETrErr
0	pi+	0.13957	0.762656	0.0167336	0.0845299	0.00508549	5.71407	0.925148	3386.76	920.027	1.50248	0.0986917	0.683112	ETlErr	0.00219462	ETrErr
0	pi+	0.13957	0.748073	0.0186991	0.0826742	0.00520025	5.47276	0.9161	2277.42	650.428	0.891173	0.0585668	0.428051	ETlErr	0.000914153	ETrErr
0	pi+	0.13957	0.728474	0.0170676	0.0839929	0.00531142	6.07822	1.40874	1245.92	355.443	0.503889	0.0331501	0.248306	ETlErr	0.000923341	ETrErr
0	pi+	0.13957	0.705217	0.0201329	0.083185	0.00585744	5.54825	1.49878	677.222	212.76	0.25911	0.0171802	0.130827	ETlErr	0.000345647	ETrErr
0	ka-	0.49368	0.712793	0.0220575	0.0823342	0.0080729	4.52697	0.734768	33582.8	25901.2	1.25295	0.0762684	0.202975	ETlErr	0.00828898	ETrErr
0	ka-	0.49368	0.724698	0.0158675	0.0835976	0.00662291	5.36364	0.873133	25464.1	15760	1.04585	0.0638162	0.175007	ETlErr	0.00769061	ETrErr
0	ka-	0.49368	0.733377	0.0171855	0.0780099	0.00641152	5.03606	0.645488	32224.9	21867.2	0.750263	0.0454615	0.133308	ETlErr	0.00482019	ETrErr
0	ka-	0.49368	0.727808	0.0163748	0.0790441	0.00627851	5.35672	0.745269	19215.9	12490.3	0.49024	0.0297982	0.0886525	ETlErr	0.00295844	ETrErr
0	ka-	0.49368	0.716492	0.0167662	0.0798689	0.00625805	5.38044	0.807342	11258	7148.19	0.310142	0.018976	0.0563022	ETlErr	0.00167115	ETrErr
0	ka-	0.49368	0.722037	0.0129863	0.0779381	0.00516085	7.03723	1.09578	9278.55	5128.8	0.193622	0.0119753	0.0402388	ETlErr	0.000834787	ETrErr
0	ka-	0.49368	0.724888	0.013455	0.081454	0.00459722	8.76907	1.72849	3441.64	1570.59	0.100912	0.00638069	0.0210132	ETlErr	0.000465159	ETrErr
0	ka-	0.49368	0.676738	0.0200893	0.0757482	0.0093031	6.53988	2.51063	3154.79	3259.09	0.0493194	0.00322686	0.011138	ETlErr	0.000433999	ETrErr
0	ka-	0.49368	0.79493	0.021591	0.0748031	0.00122949	16.8354	1.97016	1751.39	280.161	0.0218679	0.00156775	0.00597291	ETlErr	0.000506854	ETrErr
0	ka+	0.49368	0.733751	0.0190399	0.0836508	0.00639196	4.26213	0.455773	58328.5	34719.8	2.6119	0.158599	0.385218	ETlErr	0.0115611	ETrErr
0	ka+	0.49368	0.735605	0.0204473	0.0794727	0.00643705	4.24541	0.406301	73380.6	48229.4	2.13127	0.129363	0.336529	ETlErr	0.0075403	ETrErr
0	ka+	0.49368	0.747909	0.01941	0.0751533	0.00594118	4.23539	0.342267	83992.1	56459.3	1.51703	0.0917926	0.252442	ETlErr	0.00494848	ETrErr
0	ka+	0.49368	0.752261	0.0177426	0.0736732	0.00546867	4.48404	0.348468	65879.7	42350.5	0.981134	0.0594891	0.171515	ETlErr	0.00300646	ETrErr
0	ka+	0.49368	0.736653	0.0139355	0.0858123	0.0057043	5.81927	0.764887	12143.2	6229.49	0.618199	0.0376095	0.100529	ETlErr	0.00261194	ETrErr
0	ka+	0.49368	0.746382	0.0127527	0.0767921	0.00463041	6.24724	0.626513	19358.9	9884.4	0.375536	0.0228997	0.0733797	ETlErr	0.00102975	ETrErr
0	ka+	0.49368	0.744256	0.0142055	0.0731753	0.00472914	5.86283	0.55725	14998.3	8495.67	0.190799	0.0120428	0.039011	ETlErr	0.000411596	ETrErr
0	ka+	0.49368	0.72019	0.0147782	0.0751916	0.00564092	6.40278	1.00093	6094.23	3910.54	0.094038	0.00594845	0.0199778	ETlErr	0.000359356	ETrErr
0	ka+	0.49368	0.698249	0.02019	0.071885	0.00845177	6.04235	1.49553	4319.71	4469.4	0.0436029	0.00293374	0.00999558	ETlErr	0.000163139	ETrErr
0	pba	0.93827	0.594182	0.0469213	0.0934369	0.0127852	2.15939	0.378726	55797.2	90273.2	0.270562	0.022793	0.0535676	ETlErr	0.00291354	ETrErr
0	pba	0.93827	0.656669	0.0487078	0.075484	0.0151439	2.52526	0.335696	728483	2.07499e+06	0.215928	0.0183003	0.0492962	ETlErr	0.00195287	ETrErr
0	pba	0.93827	0.626115	0.0659654	0.0800383	0.0187096	2.50569	0.371628	267598	842904	0.173331	0.014427	0.0404818	ETlErr	0.00132622	ETrErr
0	pba	0.93827	0.614648	0.030414	0.0851513	0.00935955	3.27843	0.545423	91661.9	130261	0.12305	0.0102721	0.0325452	ETlErr	0.00138527	ETrErr
0	pba	0.93827	0.599327	0.0258704	0.0861256	0.00547764	4.01474	0.661148	60687.4	50377.8	0.08689	0.00729254	0.0260515	ETlErr	0.00117221	ETrErr
0	pba	0.93827	0.634545	0.0426831	0.0652542	0.0166923	4.41292	0.738913	2.32131e+06	9.67512e+06	0.0547357	0.00464016	0.0221982	ETlErr	0.000673799	ETrErr
0	pba	0.93827	0.636834	0.0284776	0.070204	0.0327666	6.35489	4.10331	503343	3.59053e+06	0.033926	0.00294071	0.0153861	ETlErr	0.000680829	ETrErr
0	pba	0.93827	0.710319	0.145213	0.0733712	0.0146425	12.5631	10.6443	163044	478191	0.0181595	0.00162509	0.00991335	ETlErr	0.00156346	ETrErr
0	pba	0.93827	0.994024	0.486887	0.0715188	0.00628559	22.7172	5.47377	135343	187478	0.00894663	0.000889925	0.0058258	ETlErr	0.00507919	ETrErr
0	pro	0.93827	0.569629	0.0246292	0.108303	0.00227547	2.77609	0.561868	351020	76316.8	1.223	0.103737	0.0407971	ETlErr	0.0473373	ETrErr
0	pro	0.93827	0.599204	0.0280622	0.1121	0.00784405	3.76702	0.699528	196882	148745	0.954563	0.0811973	0.0329097	ETlErr	0.0456111	ETrErr
0	pro	0.93827	0.609473	0.024088	0.104426	0.00540603	3.67769	0.665491	311529	177042	0.695711	0.0590232	0.0257853	ETlErr	0.0292195	ETrErr
0	pro	0.93827	0.623655	0.0150467	0.0992589	0.00676796	4.17652	0.682158	377701	295606	0.450962	0.0381717	0.0187583	ETlErr	0.0171943	ETrErr
0	pro	0.93827	0.633932	0.0483223	0.0973614	0.0370112	5.05342	3.21142	316118	1.37665e+06	0.281049	0.0237518	0.0131025	ETlErr	0.0101067	ETrErr
0	pro	0.93827	0.61923	0.045781	0.0869182	0.0202697	4.82825	1.28561	782026	2.31005e+06	0.158914	0.0133417	0.00894738	ETlErr	0.00343118	ETrErr
0	pro	0.93827	0.62676	0.0161642	0.0918348	0.00435067	7.40549	1.34134	232221	135091	0.0836469	0.00702686	0.00531506	ETlErr	0.00187295	ETrErr
0	pro	0.93827	0.603971	0.0339535	0.0787312	0.0130604	6.03929	1.22054	869995	2.00856e+06	0.0385257	0.00324754	0.00299046	ETlErr	0.000423643	ETrErr
0	pro	0.93827	0.636072	0.0384654	0.0905299	0.010833	13.9806	8.0311	69241.7	103089	0.0170959	0.00148771	0.00141605	ETlErr	0.00026925	ETrErr
0	pi-	0.13957	0.789556	0.0139012	0.0878011	0.00504011	6.00663	0.938504	22012.3	5615.73	12.1849	0.800444	4.98986	ETlErr	0.0333552	ETrErr
0	pi-	0.13957	0.793007	0.013797	0.0872445	0.00506228	6.14375	0.96019	18368.9	4768.26	9.81865	0.645053	4.08487	ETlErr	0.0270041	ETrErr
0	pi-	0.13957	0.790712	0.0127715	0.0883015	0.00480888	6.29824	0.957661	13294	3223.99	7.48924	0.491943	3.07383	ETlErr	0.0208725	ETrErr
0	pi-	0.13957	0.792568	0.0128805	0.0875683	0.00476831	6.5067	1.00724	9385.54	2302.23	5.0288	0.330309	2.11763	ETlErr	0.0134766	ETrErr
0	pi-	0.13957	0.792876	0.0122141	0.0873803	0.00453579	6.90667	1.05542	6396.43	1511.63	3.33542	0.219079	1.43767	ETlErr	0.00851203	ETrErr
0	pi-	0.13957	0.787076	0.0124182	0.0868127	0.00443659	6.93167	1.0523	4150.16	970.693	2.07417	0.136201	0.915035	ETlErr	0.00462781	ETrErr
0	pi-	0.13957	0.780809	0.0127614	0.0857733	0.00436217	6.90769	1.04364	2675.48	626.755	1.24594	0.0817988	0.568478	ETlErr	0.00234495	ETrErr
0	pi-	0.13957	0.77058	0.0138741	0.0839966	0.00430762	6.59035	0.965038	1630.43	387.709	0.678942	0.0445861	0.323996	ETlErr	0.000983178	ETrErr
0	pi-	0.13957	0.752951	0.0150188	0.0835454	0.00456849	6.40666	1.12434	885.239	222.375	0.352939	0.023209	0.173164	ETlErr	0.000567542	ETrErr
0	pi+	0.13957	0.782079	0.0154944	0.0889064	0.00550867	5.55437	0.935252	19955.8	5396.42	11.9325	0.78383	4.68825	ETlErr	0.0328562	ETrErr
0	pi+	0.13957	0.785963	0.0141829	0.0893079	0.00528255	5.98221	1.00729	15935.8	4148.48	9.60372	0.630948	3.80826	ETlErr	0.0273935	ETrErr
0	pi+	0.13957	0.784999	0.0133558	0.0897298	0.005	6.08707	0.972265	11929.1	2927.23	7.32007	0.480832	2.89523	ETlErr	0.0208696	ETrErr
0	pi+	0.13957	0.788136	0.012777	0.0895489	0.00486604	6.55226	1.08192	8218.46	1989.44	4.91221	0.32266	1.98873	ETlErr	0.0138136	ETrErr
0	pi+	0.13957	0.787965	0.0125874	0.0883234	0.00467857	6.73279	1.07379	5890.53	1406.9	3.25201	0.213563	1.36819	ETlErr	0.00828543	ETrErr
0	pi+	0.13957	0.784718	0.0123891	0.0877942	0.00448546	6.93723	1.08977	3823.94	888.531	2.02143	0.132735	0.8735	ETlErr	0.0046253	ETrErr
0	pi+	0.13957	0.781143	0.0122021	0.0869795	0.00430966	7.19407	1.12019	2444	556.756	1.21328	0.0796716	0.543503	ETlErr	0.00241951	ETrErr
0	pi+	0.13957	0.770748	0.0121191	0.0872514	0.00417431	7.50543	1.22587	1340.59	296.283	0.66176	0.0434604	0.302041	ETlErr	0.00110188	ETrErr
0	pi+	0.13957	0.754655	0.0148829	0.0838709	0.00445718	6.43042	1.04974	842.591	206.456	0.343641	0.0226147	0.166871	ETlErr	0.000385813	ETrErr
0	ka-	0.49368	0.755369	0.0138942	0.0845287	0.00578019	5.37512	0.608033	41679.3	22206.8	1.95634	0.118641	0.305188	ETlErr	0.0107748	ETrErr
0	ka-	0.49368	0.754067	0.0148177	0.0816459	0.00560639	5.12115	0.515572	45342	24906.8	1.60834	0.0975351	0.258805	ETlErr	0.00766308	ETrErr
0	ka-	0.49368	0.749102	0.0158743	0.0796487	0.00552107	4.89181	0.457576	41187.1	23261.8	1.18919	0.0718966	0.195807	ETlErr	0.00480509	ETrErr
0	ka-	0.49368	0.757241	0.0123806	0.080951	0.00486976	5.94397	0.593528	25615.4	12491.1	0.81168	0.0491178	0.140883	ETlErr	0.00353486	ETrErr
0	ka-	0.49368	0.762116	0.0110583	0.0787629	0.00436026	6.52909	0.619401	21245.2	9789.18	0.519398	0.0314651	0.0971378	ETlErr	0.0020253	ETrErr
0	ka-	0.49368	0.749619	0.0106935	0.0786386	0.00399832	7.16268	0.708977	13723.6	5833.57	0.318099	0.0192719	0.0631115	ETlErr	0.000938429	ETrErr
0	ka-	0.49368	0.742499	0.0114807	0.0751113	0.00391318	7.04442	0.668163	11715.4	5290.61	0.179281	0.0109295	0.0382905	ETlErr	0.000378363	ETrErr
0	ka-	0.49368	0.727324	0.0129391	0.0723619	0.0044444	6.7673	0.79279	8335.91	4540.64	0.0896483	0.00551356	0.0204176	ETlErr	0.000307097	ETrErr
0	ka-	0.49368	0.719861	0.0177993	0.0659216	0.00591966	5.88144	0.768804	9259.08	7893.92	0.0416456	0.00265216	0.0103711	ETlErr	0.000146165	ETrErr
0	ka+	0.49368	0.760366	0.0139454	0.0854615	0.00595814	5.17359	0.583529	59377.2	31927.3	3.10538	0.18843	0.464458	ETlErr	0.0198648	ETrErr
0	ka+	0.49368	0.767053	0.0125875	0.0854313	0.00562305	5.49092	0.609183	49409.5	25149.8	2.55423	0.15517	0.388407	ETlErr	0.0173266	ETrErr
0	ka+	0.49368	0.766789	0.0126205	0.0838114	0.00542883	5.49536	0.576103	42465.6	21605.2	1.87097	0.113439	0.292924	ETlErr	0.0116425	ETrErr
0	ka+	0.49368	0.768202	0.01188	0.081994	0.00503611	5.82808	0.583366	35104.6	17284.4	1.26567	0.0766735	0.209787	ETlErr	0.00703781	ETrErr
0	ka+	0.49368	0.763302	0.0134606	0.0735944	0.00455376	5.35542	0.414001	55587.4	30037.1	0.785425	0.0474968	0.147662	ETlErr	0.0025944	ETrErr
0	ka+	0.49368	0.754971	0.0132127	0.0738075	0.00438866	5.71909	0.462104	33725.7	17513.4	0.473984	0.0286733	0.0929917	ETlErr	0.00131302	ETrErr
0	ka+	0.49368	0.764912	0.0101496	0.0760896	0.00391556	7.1905	0.650384	15116.6	6685.27	0.265397	0.0161734	0.0542279	ETlErr	0.000865344	ETrErr
0	ka+	0.49368	0.770309	0.00955901	0.0761292	0.00417803	8.48925	1.0442	7699.46	3631.9	0.130369	0.00805832	0.0282855	ETlErr	0.000904272	ETrErr
0	ka+	0.49368	0.770996	0.0115926	0.0759202	0.00431488	9.41101	1.483	3873.5	1893.88	0.0621679	0.00389442	0.0141042	ETlErr	0.000586847	ETrErr
0	pba	0.93827	0.667784	0.0222041	0.0875702	0.00720328	2.50535	0.304535	341897	357776	0.785487	0.0649346	0.150435	ETlErr	0.0140255	ETrErr
0	pba	0.93827	0.653966	0.0188677	0.084109	0.00507855	2.43606	0.286679	473397	373164	0.635862	0.0524158	0.12873	ETlErr	0.00848804	ETrErr
0	pba	0.93827	0.654702	0.0487641	0.0880054	0.0183019	2.94182	0.416955	222609	574397	0.504857	0.0415055	0.110315	ETlErr	0.00719138	ETrErr
0	pba	0.93827	0.661111	0.0163799	0.0861451	0.00439995	3.50425	0.405027	221184	143656	0.36161	0.0297136	0.0885616	ETlErr	0.00466375	ETrErr
0	pba	0.93827	0.646143	0.0212517	0.0851736	0.00772354	4.07618	0.499917	188893	221619	0.248053	0.0203339	0.0690217	ETlErr	0.00233771	ETrErr
0	pba	0.93827	0.658069	0.0233719	0.0880558	0.0138606	5.85354	1.38751	87780	173366	0.162368	0.0133406	0.0507081	ETlErr	0.00156926	ETrErr
0	pba	0.93827	0.669898	0.00957892	0.0662556	0.000982392	5.56401	0.584026	3.37787e+06	810842	0.0996739	0.00820532	0.0419177	ETlErr	0.000427698	ETrErr
0	pba	0.93827	0.623893	0.0241031	0.0778586	0.0158367	7.41513	2.55734	175969	502390	0.0543002	0.0044974	0.0230962	ETlErr	0.000290759	ETrErr
0	pba	0.93827	0.644723	0.0460903	0.0781043	0.0123296	12.5642	7.5227	93339.3	206939	0.0269999	0.00229678	0.0133944	ETlErr	0.000305332	ETrErr
0	pro	0.93827	0.641853	0.0485212	0.0965218	0.0197379	2.7909	0.485159	928466	2.17342e+06	0.98294	0.0840279	0.0310704	ETlErr	0.0493593	ETrErr
0	pro	0.93827	0.706684	0.0114797	0.0770428	0.000342525	3.29684	0.353601	1.35169e+07	1.1761e+06	0.775368	0.066427	0.0293075	ETlErr	0.0373051	ETrErr
0	pro	0.93827	0.69865	0.0319202	0.0838403	0.016125	3.71634	0.499436	3.35691e+06	8.40532e+06	0.578436	0.0495372	0.0224456	ETlErr	0.0307117	ETrErr
0	pro	0.93827	0.6846	0.0333216	0.0761693	0.0133038	3.66214	0.408647	8.43884e+06	2.09202e+07	0.361663	0.0306908	0.0163778	ETlErr	0.0122728	ETrErr
